point,boundary_case,charge_case,phi_mc_V,sigma_mc_boundary_V,phi_sor_V,diff_sor_minus_mc_V,z_score_diff_over_sigma,sor_iters,sor_max_update
center,A_all+100,0_none,100,0.222891,100,0,0.000,253,8.785e-11
center,A_all+100,U_uniform_total10C,100.7368318,0.222891,100.7364815,-0.0003503,-0.002,253,8.802e-11
center,A_all+100,G_gradient_top1_bottom0,100.0368569,0.222891,100.0368241,-3.28e-05,-0.000,253,8.781e-11
center,A_all+100,E_exp_center,100.0127388,0.222891,100.0127179,-2.09e-05,-0.000,253,8.788e-11
center,B_tb+100_lr-100,0_none,0.133,0.222891,1.479046787e-14,-0.133,-0.597,257,6.670e-11
center,B_tb+100_lr-100,U_uniform_total10C,0.86983176,0.222891,0.7364814559,-0.13335,-0.598,257,6.676e-11
center,B_tb+100_lr-100,G_gradient_top1_bottom0,0.1698569198,0.222891,0.0368240728,-0.133033,-0.597,257,6.673e-11
center,B_tb+100_lr-100,E_exp_center,0.1457387726,0.222891,0.01271790454,-0.133021,-0.597,257,6.672e-11
center,C_top+left+200_bottom0_right-400,0_none,-0.416,0.546455,-9.713122103e-13,0.416,0.761,263,7.133e-11
center,C_top+left+200_bottom0_right-400,U_uniform_total10C,0.32083176,0.546455,0.7364814559,0.41565,0.761,263,7.140e-11
center,C_top+left+200_bottom0_right-400,G_gradient_top1_bottom0,-0.3791430802,0.546455,0.0368240728,0.415967,0.761,263,7.142e-11
center,C_top+left+200_bottom0_right-400,E_exp_center,-0.4032612274,0.546455,0.01271790454,0.415979,0.761,263,7.134e-11
corner,A_all+100,0_none,100,0.198734,100,0,0.000,253,8.785e-11
corner,A_all+100,U_uniform_total10C,100.0092703,0.198734,100.0092336,-3.67e-05,-0.000,253,8.802e-11
corner,A_all+100,G_gradient_top1_bottom0,100.0001539,0.198734,100.0001518,-2.1e-06,-0.000,253,8.781e-11
corner,A_all+100,E_exp_center,100.0000282,0.198734,100.0000277,-5e-07,-0.000,253,8.788e-11
corner,B_tb+100_lr-100,0_none,0.029,0.198734,-1.726161819e-15,-0.029,-0.146,257,6.670e-11
corner,B_tb+100_lr-100,U_uniform_total10C,0.03827029,0.198734,0.009233554927,-0.0290367,-0.146,257,6.676e-11
corner,B_tb+100_lr-100,G_gradient_top1_bottom0,0.0291538721,0.198734,0.0001518409836,-0.029002,-0.146,257,6.673e-11
corner,B_tb+100_lr-100,E_exp_center,0.0290282016,0.198734,2.770389812e-05,-0.0290005,-0.146,257,6.672e-11
corner,C_top+left+200_bottom0_right-400,0_none,99.818,0.281506,99.82483712,0.00683712,0.024,263,7.133e-11
corner,C_top+left+200_bottom0_right-400,U_uniform_total10C,99.82727029,0.281506,99.83407067,0.00680038,0.024,263,7.140e-11
corner,C_top+left+200_bottom0_right-400,G_gradient_top1_bottom0,99.81815387,0.281506,99.82498896,0.00683509,0.024,263,7.142e-11
corner,C_top+left+200_bottom0_right-400,E_exp_center,99.8180282,0.281506,99.82486482,0.00683662,0.024,263,7.134e-11
face,A_all+100,0_none,100,0.202418,100,0,0.000,253,8.785e-11
face,A_all+100,U_uniform_total10C,100.0657716,0.202418,100.065536,-0.0002356,-0.001,253,8.802e-11
face,A_all+100,G_gradient_top1_bottom0,100.0032858,0.202418,100.0032768,-9e-06,-0.000,253,8.781e-11
face,A_all+100,E_exp_center,100.0005076,0.202418,100.0005033,-4.3e-06,-0.000,253,8.788e-11
face,B_tb+100_lr-100,0_none,-93.366,0.202418,-93.32424553,0.0417545,0.206,257,6.670e-11
face,B_tb+100_lr-100,U_uniform_total10C,-93.30022836,0.202418,-93.25870954,0.0415188,0.205,257,6.676e-11
face,B_tb+100_lr-100,G_gradient_top1_bottom0,-93.3627142,0.202418,-93.32096873,0.0417455,0.206,257,6.673e-11
face,B_tb+100_lr-100,E_exp_center,-93.36549242,0.202418,-93.32374219,0.0417502,0.206,257,6.672e-11
face,C_top+left+200_bottom0_right-400,0_none,192.594,0.405657,192.5094638,-0.0845362,-0.208,263,7.133e-11
face,C_top+left+200_bottom0_right-400,U_uniform_total10C,192.6597716,0.405657,192.5749998,-0.0847718,-0.209,263,7.140e-11
face,C_top+left+200_bottom0_right-400,G_gradient_top1_bottom0,192.5972858,0.405657,192.5127406,-0.0845452,-0.208,263,7.142e-11
face,C_top+left+200_bottom0_right-400,E_exp_center,192.5945076,0.405657,192.5099671,-0.0845405,-0.208,263,7.134e-11
