point,boundary_case,charge_case,phi_sor_V,iters,max_update,omega,start_i,start_j
center,A_all+100,0_none,100,253,8.785e-11,1.88402,25,25
corner,A_all+100,0_none,100,253,8.785e-11,1.88402,1,1
face,A_all+100,0_none,100,253,8.785e-11,1.88402,25,1
center,A_all+100,U_uniform_total10C,100.7364815,253,8.802e-11,1.88402,25,25
corner,A_all+100,U_uniform_total10C,100.0092336,253,8.802e-11,1.88402,1,1
face,A_all+100,U_uniform_total10C,100.065536,253,8.802e-11,1.88402,25,1
center,A_all+100,G_gradient_top1_bottom0,100.0368241,253,8.781e-11,1.88402,25,25
corner,A_all+100,G_gradient_top1_bottom0,100.0001518,253,8.781e-11,1.88402,1,1
face,A_all+100,G_gradient_top1_bottom0,100.0032768,253,8.781e-11,1.88402,25,1
center,A_all+100,E_exp_center,100.0127179,253,8.788e-11,1.88402,25,25
corner,A_all+100,E_exp_center,100.0000277,253,8.788e-11,1.88402,1,1
face,A_all+100,E_exp_center,100.0005033,253,8.788e-11,1.88402,25,1
center,B_tb+100_lr-100,0_none,1.479046787e-14,257,6.670e-11,1.88402,25,25
corner,B_tb+100_lr-100,0_none,-1.726161819e-15,257,6.670e-11,1.88402,1,1
face,B_tb+100_lr-100,0_none,-93.32424553,257,6.670e-11,1.88402,25,1
center,B_tb+100_lr-100,U_uniform_total10C,0.7364814559,257,6.676e-11,1.88402,25,25
corner,B_tb+100_lr-100,U_uniform_total10C,0.009233554927,257,6.676e-11,1.88402,1,1
face,B_tb+100_lr-100,U_uniform_total10C,-93.25870954,257,6.676e-11,1.88402,25,1
center,B_tb+100_lr-100,G_gradient_top1_bottom0,0.0368240728,257,6.673e-11,1.88402,25,25
corner,B_tb+100_lr-100,G_gradient_top1_bottom0,0.0001518409836,257,6.673e-11,1.88402,1,1
face,B_tb+100_lr-100,G_gradient_top1_bottom0,-93.32096873,257,6.673e-11,1.88402,25,1
center,B_tb+100_lr-100,E_exp_center,0.01271790454,257,6.672e-11,1.88402,25,25
corner,B_tb+100_lr-100,E_exp_center,2.770389812e-05,257,6.672e-11,1.88402,1,1
face,B_tb+100_lr-100,E_exp_center,-93.32374219,257,6.672e-11,1.88402,25,1
center,C_top+left+200_bottom0_right-400,0_none,-9.713122103e-13,263,7.133e-11,1.88402,25,25
corner,C_top+left+200_bottom0_right-400,0_none,99.82483712,263,7.133e-11,1.88402,1,1
face,C_top+left+200_bottom0_right-400,0_none,192.5094638,263,7.133e-11,1.88402,25,1
center,C_top+left+200_bottom0_right-400,U_uniform_total10C,0.7364814559,263,7.140e-11,1.88402,25,25
corner,C_top+left+200_bottom0_right-400,U_uniform_total10C,99.83407067,263,7.140e-11,1.88402,1,1
face,C_top+left+200_bottom0_right-400,U_uniform_total10C,192.5749998,263,7.140e-11,1.88402,25,1
center,C_top+left+200_bottom0_right-400,G_gradient_top1_bottom0,0.0368240728,263,7.142e-11,1.88402,25,25
corner,C_top+left+200_bottom0_right-400,G_gradient_top1_bottom0,99.82498896,263,7.142e-11,1.88402,1,1
face,C_top+left+200_bottom0_right-400,G_gradient_top1_bottom0,192.5127406,263,7.142e-11,1.88402,25,1
center,C_top+left+200_bottom0_right-400,E_exp_center,0.01271790454,263,7.134e-11,1.88402,25,25
corner,C_top+left+200_bottom0_right-400,E_exp_center,99.82486482,263,7.134e-11,1.88402,1,1
face,C_top+left+200_bottom0_right-400,E_exp_center,192.5099671,263,7.134e-11,1.88402,25,1
